source_system,extraction_date,payroll_receipt_id,payroll_period,employee_id,first_name,last_name,department_code,employment_type,consulting_firm_tax_id,payroll_status,paid_days,monthly_salary,regular_hours,regular_hours_amount,overtime_hours,overtime_amount,productivity_bonus,absence_deduction,gross_pay,estimated_employer_cost
payroll_module,2026-06-29,PAY202501-00001,2025-01,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,0.0,0.0,0.0,0.0,11241.79,14558.12
payroll_module,2026-06-29,PAY202502-00001,2025-02,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,1.0,105.39,0.0,0.0,11347.18,14694.6
payroll_module,2026-06-29,PAY202503-00001,2025-03,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,1.0,105.39,231.41,0.0,11578.59,14994.27
payroll_module,2026-06-29,PAY202504-00001,2025-04,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,1.0,105.39,0.0,0.0,11347.18,14694.6
payroll_module,2026-06-29,PAY202505-00001,2025-05,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,4.0,421.57,0.0,0.0,11663.36,15104.05
payroll_module,2026-06-29,PAY202506-00001,2025-06,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,1.0,105.39,826.53,0.0,12173.71,15764.95
payroll_module,2026-06-29,PAY202507-00001,2025-07,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,1.0,105.39,0.0,0.0,11347.18,14694.6
payroll_module,2026-06-29,PAY202508-00001,2025-08,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,2.0,210.78,0.0,0.0,11452.57,14831.08
payroll_module,2026-06-29,PAY202509-00001,2025-09,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,0.0,0.0,294.49,0.0,11536.28,14939.48
payroll_module,2026-06-29,PAY202510-00001,2025-10,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,2.0,210.78,0.0,0.0,11452.57,14831.08
payroll_module,2026-06-29,PAY202511-00001,2025-11,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,2.0,210.78,0.0,0.0,11452.57,14831.08
payroll_module,2026-06-29,PAY202512-00001,2025-12,1,Luca,Gonzalez,D001,Permanent,,ACTIVE,30,11241.79,160.0,0.0,2.0,210.78,602.16,0.0,12054.73,15610.88
payroll_module,2026-06-29,PAY202501-00002,2025-01,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,5.0,452.55,0.0,0.0,10106.89,13088.42
payroll_module,2026-06-29,PAY202502-00002,2025-02,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,3.0,271.53,0.0,0.0,9925.87,12854.0
payroll_module,2026-06-29,PAY202503-00002,2025-03,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,6.0,543.06,331.76,0.0,10529.16,13635.26
payroll_module,2026-06-29,PAY202504-00002,2025-04,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,3.0,271.53,0.0,0.0,9925.87,12854.0
payroll_module,2026-06-29,PAY202505-00002,2025-05,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,4.0,362.04,0.0,0.0,10016.38,12971.21
payroll_module,2026-06-29,PAY202506-00002,2025-06,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,7.0,633.57,556.54,0.0,10844.45,14043.56
payroll_module,2026-06-29,PAY202507-00002,2025-07,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,8.0,724.08,0.0,0.0,10378.42,13440.05
payroll_module,2026-06-29,PAY202508-00002,2025-08,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,6.0,543.06,0.0,0.0,10197.4,13205.63
payroll_module,2026-06-29,PAY202509-00002,2025-09,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,9.0,814.58,925.08,0.0,11394.0,14755.23
payroll_module,2026-06-29,PAY202510-00002,2025-10,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,6.0,543.06,0.0,0.0,10197.4,13205.63
payroll_module,2026-06-29,PAY202511-00002,2025-11,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,10.0,905.09,0.0,0.0,10559.43,13674.46
payroll_module,2026-06-29,PAY202512-00002,2025-12,2,Victoria,Diaz,D004,Permanent,,ACTIVE,30,9654.34,160.0,0.0,8.0,724.08,845.47,0.0,11223.89,14534.94
payroll_module,2026-06-29,PAY202501-00003,2025-01,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,3.0,326.79,0.0,0.0,11946.01,15470.08
payroll_module,2026-06-29,PAY202502-00003,2025-02,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,3.0,326.79,0.0,0.0,11946.01,15470.08
payroll_module,2026-06-29,PAY202503-00003,2025-03,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,4.0,435.72,332.11,0.0,12387.05,16041.23
payroll_module,2026-06-29,PAY202504-00003,2025-04,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,6.0,653.58,0.0,0.0,12272.8,15893.28
payroll_module,2026-06-29,PAY202505-00003,2025-05,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,7.0,762.51,0.0,0.0,12381.73,16034.34
payroll_module,2026-06-29,PAY202506-00003,2025-06,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,7.0,762.51,679.82,0.0,13061.55,16914.71
payroll_module,2026-06-29,PAY202507-00003,2025-07,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,8.0,871.44,0.0,1154.17,11336.49,14680.75
payroll_module,2026-06-29,PAY202508-00003,2025-08,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,2.0,217.86,0.0,0.0,11837.08,15329.02
payroll_module,2026-06-29,PAY202509-00003,2025-09,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,2.0,217.86,664.44,0.0,12501.52,16189.47
payroll_module,2026-06-29,PAY202510-00003,2025-10,3,Abril,Peralta,D004,Permanent,,ACTIVE,30,11619.22,160.0,0.0,2.0,217.86,0.0,0.0,11837.08,15329.02
